proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8070,7618,2833,1992
2,10000,8123,7672,3052,2091
3,10000,8606,8218,2845,1488
4,10000,8583,8183,2894,1495
5,10000,8927,8543,2895,2064
6,10000,8847,8478,2964,2137
