cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.836640,0.000774,348.301272,2322.008483
II,0.787985,0.000729,328.045691,2186.971275
III,0.267886,0.000248,111.523501,743.490010
IV,0.133248,0.000123,55.472405,369.816034
