proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,11,9,8,3,1
2,11,8,8,4,3
3,11,8,7,3,1
4,11,10,10,3,1
5,11,7,7,3,3
6,11,10,9,5,3
