mass,run_name,cross_section_pb,cross_section_error_pb,status,return_code,note
200,run_01,657.27,0.69907,ok,0,
300,run_02,630.49,0.73626,ok,0,
400,run_03,621.16,0.88501,ok,0,
500,run_04,617.45,0.83824,ok,0,
600,run_05,614.16,0.67393,ok,0,
700,run_06,612.0,0.74034,ok,0,
800,run_07,613.36,0.73684,ok,0,
900,run_08,613.36,0.87447,ok,0,
1000,run_09,612.51,0.75062,ok,0,
1100,run_10,612.16,0.61635,ok,0,
1200,run_11,611.4,0.69028,ok,0,
1300,run_12,611.47,0.68723,ok,0,
1400,run_13,611.76,0.78089,ok,0,
