proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,7952,7445,2855,1718
2,10000,8042,7588,3167,1915
3,10000,8112,7705,2755,1256
4,10000,8277,7804,2789,1237
5,10000,8318,7896,2792,1746
6,10000,8290,7855,2706,1676
