cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.810552,4.436998,1996649.017861,13310993.452404
II,0.764802,4.186560,1883951.804664,12559678.697763
III,0.287388,1.573173,707927.921303,4719519.475350
IV,0.150278,0.822626,370181.718024,2467878.120162
