cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.842973,0.000482,217.084783,1447.231886
II,0.799441,0.000457,205.874457,1372.496378
III,0.276025,0.000158,71.082639,473.884258
IV,0.129998,0.000074,33.477335,223.182232
