proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8095,7634,2859,2008
2,10000,8136,7682,3087,2136
3,10000,8530,8110,2798,1511
4,10000,8600,8198,2969,1588
5,10000,8930,8600,2870,2107
6,10000,8854,8479,2937,2173
