proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8014,7546,2984,1943
2,10000,8110,7608,3028,1972
3,10000,8451,8007,2830,1365
4,10000,8412,7917,2819,1325
5,10000,8759,8299,2849,1907
6,10000,8744,8305,2875,1922
