cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.843222,0.000616,277.312632,1848.750882
II,0.796391,0.000582,261.911230,1746.074868
III,0.282486,0.000206,92.901897,619.345981
IV,0.134628,0.000098,44.275508,295.170055
