proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8123,7644,3039,2071
2,10000,8187,7694,3070,2094
3,10000,8568,8139,2844,1487
4,10000,8571,8143,2915,1538
5,10000,8801,8408,2993,2098
6,10000,8857,8491,2961,2133
